property_id,lat,lng,addr_street,suburb,lga,closet_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
34731,-37.704426,145.02606,34 Banff Street,RESERVOIR, EAST GIPPSLAND ,20009,1.5075205264232245,41,1,1,0,0,0
54781,-37.819267,145.02649,90 Power Street,HAWTHORN, YARRA ,19905,0.42522487036500145,10,1,15,7,5,3
21513,-37.75684,144.96962,71 Davies Street,BRUNSWICK, MARIBYRNONG ,19966,0.7345608446864058,21,1,22,7,5,3
93720,-37.99313,145.093,86 Warren Road,MORDIALLOC, PORT PHILLIP ,19864,1.4629075011694779,45,1,25,8,5,3
56484,-37.84922,145.12897,27 Greenwood Street,BURWOOD, MARIBYRNONG ,19897,3.329738729329143,27,1,22,7,5,3
42031,-37.74581,145.07484,3 Coorie Crescent,ROSANNA, EAST GIPPSLAND ,19936,0.8328262814926488,36,1,1,0,0,0
36913,-37.635803,145.03879,16 Mahon Road,EPPING, FRANKSTON ,20005,1.99786769318733,51,1,3,3,2,1
40034,-37.707233,145.07022,207 Greenwood Drive,BUNDOORA, WODONGA ,19984,1.265134426116503,42,1,3,0,0,0
52392,-37.813175,145.00128,15 Laity Street,RICHMOND, EAST GIPPSLAND ,19977,0.8318407675912224,15,1,1,0,0,0
7995,-37.749474,144.74734,10 Earlington Boulevard,BURNSIDE, MOYNE ,20001,4.661783647179679,31,1,0,0,0,0
13148,-37.724518,144.776,42 Shakespeare Drive,DELAHEY, BULOKE ,20001,1.6492923591246427,31,1,0,0,0,0
85101,-37.883244,144.98605,72A Spray Street,ELWOOD, MORELAND ,19945,4.176436951872431,16,1,111,50,47,25
56474,-37.84485,145.09941,26 Waratah Avenue,BURWOOD, MARIBYRNONG ,19849,1.8217145946883937,25,1,22,7,5,3
14349,-37.743694,144.92207,36 Hesleden Street,ESSENDON, NILLUMBIK ,20036,0.4038841550352625,19,1,4,1,1,1
6636,-37.795048,144.83142,34 Couch Street,SUNSHINE, KNOX ,20021,0.7360824857400046,20,1,23,5,3,2
48977,-37.811874,145.09639,12 Threadneedle Street,BALWYN, HOBSONS BAY ,19896,1.1631295491055633,25,1,20,14,15,10
54360,-37.82899,145.04123,3 Belgrave Street,HAWTHORN, YARRA ,19903,0.8385625211651373,14,1,15,7,5,3
96945,-38.000298,145.28477,57 George Chudleigh Drive,HALLAM, GLEN EIRA ,19885,2.3453242325836117,50,1,15,4,2,1
58811,-37.81286,145.17143,280 Springfield Road,NUNAWADING, STONNINGTON ,19899,0.9141998938975602,28,1,19,4,3,1
81136,-37.980602,145.20288,3/21 Birdwood Avenue,DANDENONG, CARDINIA ,19889,1.0237203847810146,42,1,25,10,5,3
37774,-37.648468,145.04912,8 Glenloth Court,EPPING, FRANKSTON ,45795,1.5807999636916945,54,1,3,3,2,1
67037,-37.756023,145.36728,14 Oaks  Street,LILYDALE, FRANKSTON ,19876,1.723178577016139,51,1,3,3,2,1
3593,-37.819233,144.89427,48 Frederick Street,YARRAVILLE, MITCHELL ,20024,1.8783480218532458,13,1,14,5,3,1
3785,-37.814564,144.88866,69 Castlemaine Street,YARRAVILLE, MITCHELL ,20024,1.36502538013096,13,1,14,5,3,1
9665,-37.852905,144.71872,8 Gould Walk,TRUGANINA, CENTRAL GOLDFIELDS ,20021,12.333306051922186,20,1,0,0,0,0
45867,-37.719814,145.1169,17 Montrose Street,MONTMORENCY, PORT PHILLIP ,19986,0.6467722595243088,48,1,25,8,5,3
5326,-37.864883,144.83606,71 Civic Parade,ALTONA, BRIMBANK ,20022,7.678884796214591,17,1,77,34,21,12
14459,-37.751087,144.89908,42 Roberts Street,ESSENDON, NILLUMBIK ,20037,1.6033306429842764,16,1,4,1,1,1
79900,-37.993343,145.1873,203 Cheltenham Road,KEYSBOROUGH, KINGSTON ,19889,1.7214647328011117,42,1,13,4,2,1
68030,-37.849174,145.02528,2B Stonnington Place,TOORAK, MANNINGHAM ,19945,0.9646818590940044,16,1,11,6,4,2
10743,-37.79427,144.92368,62 Bangalore Street,KENSINGTON, SOUTH GIPPSLAND ,20041,0.6049202486273364,9,1,2,0,0,0
30721,-37.762753,145.00792,14 Francis Grove,THORNBURY, LATROBE ,20015,0.967682380662841,29,1,2,2,1,0
60756,-37.83913,145.1985,44 Boronia Road,VERMONT, CENTRAL GOLDFIELDS ,19900,2.4201246677084636,30,1,0,0,0,0
90828,-37.96121,145.07161,55 Herald Street,CHELTENHAM, YARRA RANGES ,19866,1.6144283205059635,40,1,5,3,2,1
35542,-37.712307,145.02007,74 Whitelaw Street,RESERVOIR, EAST GIPPSLAND ,20009,1.050671370751427,41,1,1,0,0,0
35821,-37.727848,145.03476,Unit 1/64 Seston Street,RESERVOIR, EAST GIPPSLAND ,20010,2.7322874461559405,40,1,1,0,0,0
66669,-37.774914,145.308,7 Wallace Way,MOOROOLBARK, WEST WIMMERA ,19877,1.161344442637591,46,1,0,0,0,0
